fixation_index,x_px,y_px,rel_x,rel_y
0,294,191,0.2,0.2
1,735,191,0.5,0.2
2,1176,191,0.8,0.2
3,294,478,0.2,0.5
4,735,478,0.5,0.5
5,1176,478,0.8,0.5
6,294,764,0.2,0.8
7,735,764,0.5,0.8
8,1176,764,0.8,0.8
