fixation_index,count,first_frame_idx,last_frame_idx
0,43,4866,4908
1,43,4919,4961
2,43,4971,5013
3,43,5024,5066
4,43,5077,5119
5,43,5130,5172
6,43,5183,5225
7,42,5236,5277
8,43,5288,5330
9,43,5341,5383
