fixation_index,count,first_frame_idx,last_frame_idx
0,43,3560,3602
1,42,3613,3654
2,43,3665,3707
3,43,3717,3759
4,43,3770,3812
5,43,3822,3864
6,43,3875,3917
7,43,3927,3969
8,43,3980,4022
